Pages,Clicks,Impressions,CTR,Position
https://www.artsy.net/artist/maria-berrio,428,3241,13.21%,4.7
https://www.artsy.net/artist/nick-brandt,428,24678,1.73%,7.6
https://www.artsy.net/artist/holton-rower,427,5414,7.89%,12
https://www.artsy.net/artist/armando-morales,426,8293,5.14%,4.6
https://www.artsy.net/artist/robert-arneson,425,10445,4.07%,4.6
https://www.artsy.net/artist/david-hammons,424,18729,2.26%,6.8
https://www.artsy.net/artist/tschabalala-self,423,8307,5.09%,4.4
https://www.artsy.net/artist/alex-kanevsky,422,14360,2.94%,5.3
https://www.artsy.net/artist/yousuf-karsh,422,50411,0.84%,6.9
https://www.artsy.net/artist/francesco-clemente,422,20912,2.02%,5.7
https://www.artsy.net/artist/urs-fischer,422,29250,1.44%,5.6
https://www.artsy.net/artist/arno-rafael-minkkinen-1,422,9762,4.32%,8.3
https://www.artsy.net/artist/aj-fosik,420,5458,7.7%,3.9
https://www.artsy.net/artist/bernd-and-hilla-becher,419,31106,1.35%,8.5
https://www.artsy.net/artist/richard-tuttle,418,15625,2.68%,5.5
https://www.artsy.net/artist/lourdes-sanchez,417,6897,6.05%,4.7
https://www.artsy.net/artist/ibrahim-el-salahi,416,7316,5.69%,5.5
https://www.artsy.net/artist/paula-scher,415,4769,8.7%,11
https://www.artsy.net/artist/lee-ufan,413,17558,2.35%,4.9
https://www.artsy.net/artist/mary-cassatt,412,113043,0.36%,7.8
https://www.artsy.net/artist/andrea-kowch,411,8641,4.76%,4.4
https://www.artsy.net/artist/carsten-holler,410,16833,2.44%,7.2
https://www.artsy.net/artist/robert-cottingham,410,7030,5.83%,8.2
https://www.artsy.net/artist/mark-dion,410,18539,2.21%,6.2
https://www.artsy.net/artist/carl-andre,410,28891,1.42%,6.3
https://www.artsy.net/artist/mary-weatherford,407,5895,6.9%,4.5
https://www.artsy.net/artist/ben-frost,406,5674,7.16%,7.1
https://www.artsy.net/artist/john-singer-sargent,405,99630,0.41%,8.1
https://www.artsy.net/artist/paul-cadmus,404,11998,3.37%,4.3
https://www.artsy.net/artist/ryan-hewett,404,7099,5.69%,4.9
https://www.artsy.net/artist/shara-hughes,403,5263,7.66%,6.6
https://www.artsy.net/artist/alex-da-corte,402,16638,2.42%,5.3
https://www.artsy.net/artist/leila-jeffreys,402,5925,6.78%,6.7
https://www.artsy.net/artist/jack-pierson,399,9826,4.06%,5.4
https://www.artsy.net/artist/laura-letinsky,399,9825,4.06%,4.1
https://www.artsy.net/artist/paul-jenkins,399,13149,3.03%,7.2
https://www.artsy.net/artist/kenneth-noland,399,20376,1.96%,5.3
https://www.artsy.net/artist/henri-de-toulouse-lautrec,399,157202,0.25%,9.3
https://www.artsy.net/artist/secundino-hernandez,398,4931,8.07%,3.7
https://www.artsy.net/artist/carlos-cruz-diez,398,19649,2.03%,7.0
https://www.artsy.net/artist/hito-steyerl,397,17114,2.32%,7.9
https://www.artsy.net/artist/edward-steichen,397,28172,1.41%,7.4
https://www.artsy.net/artist/joe-bradley,397,17042,2.33%,6.7
https://www.artsy.net/artist/matthew-cusick,396,4404,8.99%,4.3
https://www.artsy.net/artist/tim-hawkinson,394,7820,5.04%,4.5
https://www.artsy.net/artist/manuel-alvarez-bravo,394,13172,2.99%,6.0
https://www.artsy.net/artist/john-stezaker,394,17908,2.2%,7.7
https://www.artsy.net/artist/chris-ofili,393,23897,1.64%,7.5
https://www.artsy.net/artist/paul-insect,393,3838,10.24%,5.0
https://www.artsy.net/artist/nathaniel-mary-quinn,393,4758,8.26%,5.1
https://www.artsy.net/artist/ed-templeton,392,16931,2.32%,7.2
https://www.artsy.net/artist/edouard-vuillard,392,26714,1.47%,5.1
https://www.artsy.net/artist/pipilotti-rist,391,19145,2.04%,9.5
https://www.artsy.net/artist/jean-francois-millet,390,40014,0.97%,5.5
https://www.artsy.net/artist/idris-khan,390,36265,1.08%,7.7
https://www.artsy.net/artist/mariko-mori,388,14612,2.66%,5.3
https://www.artsy.net/artist/faig-ahmed,387,8358,4.63%,6.5
