,Clicks,Impressions,inquiry_requests_count,bid_count,on_artsy,search_volume,artist_slug,domain,gallery_tier,lead_id,account_id,min_distance_to_art_city,partner_on_artsy
4128,8648.0,3874668.0,513.0,79.0,5.0,237300.0,9,qualityart4u.com,,00QC000001einzzMAA,,3217.2964301211628,False
4138,,,16.0,12.0,1.0,170.0,25,radial-gallery.eu,,,001C000001WBX9rIAH,71.01275984390583,False
4139,,,90.0,4.0,1.0,260.0,25,ragallery.cz,,00QC000001ejTf3MAE,,3217.2964301211628,False
4141,,,5.0,0.0,1.0,1770.0,23,rainmakerart.co.uk,,00QC000001dvoVCMAY,,119.301070261911,False
4143,1125.0,56337.0,468.0,35.0,8.0,5390.0,24,rallscollection.com,,00QC000001ejafwMAA,,4540.023802541239,False
4144,3451.0,378925.0,904.0,214.0,3.0,14800.0,24,ramex.de,,00QC000001eiPZLMA2,,189.01584938060225,False
4146,33155.0,6595331.0,7955.0,1463.0,18.0,391720.0,26,ramseycollection.com,,00QC000001XiZUjMAN,,3217.2964301211628,False
4150,600.0,16242.0,154.0,22.0,4.0,2700.0,25,rareelements.com,,00QC000001dvccTMAQ,001C000001Y54ozIAB,3217.2964301211628,False
4153,6845.0,547341.0,11104.0,1613.0,14.0,198610.0,25,rathbonegallery.com,,00QC000001k6itGMAQ,,13.549155672469713,False
4154,5277.0,117542.0,900.0,48.0,2.0,2610.0,8,ratholegallery.com,,00QC000001eiMZvMAM,,327.0524718224672,False
4160,,,5.0,0.0,1.0,390.0,18,ravagnangallery.com,,00QC000001eiMT0MAM,,3217.2964301211628,False
4162,,,60.0,1.0,6.0,1560.0,19,ravenrow.org,,00QC000001ejQK7MAM,,11.097320758217544,False
4165,5688.0,491919.0,2610.0,413.0,11.0,24690.0,25,raymond-dreyfus.com,,00QC000001eg34xMAA,,1.0473206086133389,False
4169,,,68.0,2.0,2.0,2850.0,20,rduanereedgallerynyc.com,,00QC000001k6itOMAQ,,6235.149847355536,False
4176,,,75.0,1.0,2.0,880.0,10,recessgallery.blogspot.com,,00QC000001ehXD6MAM,,3217.2964301211628,False
4177,,,0.0,1.0,1.0,4890.0,24,redefinegallery.com,,00QC000001k6gdmMAA,,4360.403144474105,False
4182,652.0,26940.0,280.0,0.0,3.0,460.0,18,redkettle.com,,00QC000001ej7haMAA,,4408.488117278758,False
4184,,,35.0,1.0,2.0,1280.0,10,redmansion.co.uk,,00QC000001eiLVYMA2,,3217.2964301211628,False
4185,,,0.0,0.0,1.0,1050.0,25,redpianotoo.com,,00QC000001eiF7XMAU,,3217.2964301211628,False
4186,,,1.0,2.0,1.0,580.0,25,redpropeller.co.uk,,00QC000001eiYQtMAM,,3217.2964301211628,False
4189,,,4.0,0.0,1.0,1900.0,14,redthegallery.co.za,,00QC000001eio20MAA,,3217.2964301211628,False
4203,,,322.0,35.0,4.0,3240.0,18,reinisch-contemporary.com,,00QC000001k6fHOMAY,,3217.2964301211628,False
4215,1743.0,38200.0,244.0,42.0,7.0,2100.0,22,respublicagalleriadartedemocratica.it,,00QC000001ehc4kMAA,,171.99761421791646,False
4216,,,7.0,12.0,1.0,1000.0,25,retramp.com,,00QC000001ehRLDMA2,,3217.2964301211628,False
4245,,,0.0,5.0,1.0,620.0,22,richardmartinart.com.au,,00QC000001eiA3iMAE,,3217.2964301211628,False
4249,827.0,21273.0,913.0,44.0,5.0,31830.0,25,richardtullis.com,,00QC000001ZFpcsMAD,,3217.2964301211628,False
4253,,,0.0,0.0,1.0,1900.0,25,rieserfineart.com,,00QC000001eiASeMAM,,4895.084647893583,False
4260,,,120.0,18.0,4.0,2370.0,10,ritterzamet.com,,00QC000001dvpN9MAI,,11.78573502065078,False
4263,,,0.0,1.0,2.0,1300.0,25,riverbankarts.com,,00QC000001k6gbcMAA,,3536.4451412933713,False
4264,7708.0,925345.0,5473.0,485.0,9.0,75570.0,25,rizeartgallery.com,,,,219.63449309617118,False
4267,,,9.0,17.0,1.0,980.0,25,rmichelson.com,,00QC000001ej8WTMAY,,3217.2964301211628,False
4282,,,765.0,108.0,12.0,1110.0,25,robertoarte.com,,00QC000001ehIGSMA2,,125.23914212809942,False
4283,,,36.0,3.0,3.0,50030.0,17,robertofreitas.com,,00QC000001dvHCKMA2,001C000001Y54EGIAZ,3370.693667550636,False
4291,19736.0,2861020.0,10789.0,1043.0,6.0,192810.0,25,robinsonarchive.com,,00QC000001k6iuaMAA,,3217.2964301211628,False
4294,,,0.0,1.0,1.0,1740.0,11,rocalondongallery.com,,,,3217.2964301211628,False
4295,265.0,5575.0,204.0,11.0,4.0,5840.0,17,rochaart.com,,00QC000001ejSwwMAE,,4826.671288880259,False
4298,,,4.0,3.0,1.0,400.0,16,rockhamptonartgallery.com.au,,,,3217.2964301211628,False
4299,,,41.0,40.0,2.0,2190.0,17,rockstargallery.net,,00QC000001eiASiMAM,,3217.2964301211628,False
4309,23180.0,3047164.0,14994.0,1563.0,4.0,182700.0,14,roidworksgallery.com,,00QC000001k6iumMAA,,322.65792154213483,False
4312,3216.0,225588.0,4312.0,394.0,6.0,22500.0,12,romanblackgallery.com,,00QC000001ei8W4MAI,,13.150548218895691,False
4314,603.0,43836.0,64.0,35.0,5.0,14940.0,12,romeovetro.com,,00QC000001eiFBwMAM,,3160.6866260782185,False
4319,,,4.0,0.0,1.0,170.0,25,ronnyvandevelde.com,,,,3217.2964301211628,False
4322,,,10.0,0.0,1.0,210.0,10,roostergallery.com,,00QC000001ehE71MAE,,3482.242645871599,False
4333,22418.0,3170317.0,13936.0,1252.0,18.0,213010.0,25,rosinigutman.com,,00QC000001eiLefMAE,,101.38203048853464,False
4335,,,3.0,23.0,1.0,880.0,24,rossfineart.ie,,00QC000001ejTezMAE,,3217.2964301211628,False
4340,,,0.0,0.0,1.0,5790.0,25,roughtongalleries.com,,00QC000001ehc5xMAA,,4770.506605166835,False
4342,697.0,28457.0,551.0,62.0,9.0,9710.0,24,rovetv.net,,,,3217.2964301211628,False
4346,,,60.0,2.0,1.0,590.0,25,roycemyers.com,,,,3217.2964301211628,False
4347,814.0,22528.0,197.0,27.0,1.0,2010.0,6,roykas.com,,00QC000001ei9kbMAA,,3294.3034424970674,False
4354,,,223.0,59.0,1.0,3800.0,25,rubaiyatcalgary.com,,00QC000001eh8YZMAY,,3217.2964301211628,False
4364,1613.0,468774.0,180.0,24.0,2.0,16070.0,24,rupo.ru,,00QC000001ejTqBMAU,,3217.2964301211628,False
4376,19481.0,1988488.0,3672.0,581.0,19.0,104360.0,25,rwma.ch,,00QC000001ehO5hMAE,,3217.2964301211628,False
4393,12523.0,2816939.0,4269.0,788.0,4.0,182630.0,26,sagerbraudisgallery.com,,00QC000001ehYHXMA2,,4289.1987570733545,False
4400,16800.0,1822043.0,4517.0,925.0,19.0,79140.0,25,salisvertes.com,,00QC000001k6iycMAA,,3217.2964301211628,False
4409,10776.0,638885.0,1506.0,155.0,11.0,27620.0,25,sammlung-boros.de,,00QC000001k6iypMAA,,3217.2964301211628,False
4410,28565.0,3087496.0,13738.0,1365.0,19.0,228830.0,26,sammlung-hoffmann.de,,00QC000001k6g7rMAA,,3217.2964301211628,False
4415,559.0,28587.0,1528.0,184.0,8.0,2900.0,24,sancarlogallery.com,,00QC000001k6iytMAA,,3217.2964301211628,False
4423,,,0.0,0.0,1.0,2160.0,24,sanelizariohistoricdistrict.org,,00QC000001k6g7sMAA,,3217.2964301211628,False
4424,35722.0,6310364.0,19281.0,2387.0,9.0,366860.0,25,sankaibi.com,,00QC000001ejaKeMAI,,3217.2964301211628,False
4426,1886.0,157797.0,663.0,15.0,8.0,8580.0,25,saponegalerie.com,,,,3217.2964301211628,False
4429,309.0,4599.0,126.0,0.0,2.0,400.0,21,sararoneygallery.com.au,,00QC000001ej7q3MAA,,3217.2964301211628,False
4430,,,279.0,30.0,5.0,3310.0,22,saratogafineart.com,,00QC000001eijGXMAY,,3217.2964301211628,False
4433,,,0.0,3.0,1.0,140.0,25,sarugallery.com,,00QC000001ei8UNMAY,,3217.2964301211628,False
4435,17968.0,2833554.0,8683.0,645.0,3.0,215210.0,4,satellitegallery.ca,,00QC000001ej7UHMAY,,3217.2964301211628,False
4438,,,0.0,1.0,1.0,790.0,20,savah.com.au,,00QC000001k6izHMAQ,,3217.2964301211628,False
4439,,,0.0,5.0,1.0,370.0,24,savill.com.au,,00QC000001eiYTEMA2,,3217.2964301211628,False
4441,279.0,15785.0,258.0,44.0,1.0,1670.0,25,savvycollector.com,,00QC000001eiEQqMAM,,3217.2964301211628,False
4444,,,140.0,1.0,2.0,750.0,25,scapesite.com,,00QC000001fxqzUMAQ,,3217.2964301211628,False
4448,438.0,46110.0,88.0,17.0,3.0,12290.0,18,schedler.ch,,00QC000001k6izPMAQ,,45.87792614766147,False
4451,19492.0,3449480.0,7283.0,1566.0,16.0,226510.0,33,schindlergallery.com,,,,3217.2964301211628,False
4452,,,51.0,0.0,2.0,530.0,4,schinkelpavillon.de,,,,0.5040468143260578,False
4455,,,4.0,0.0,1.0,2080.0,10,schmidthandrup.com,,00QC000001ehE6DMAU,,235.29299960414173,False
4456,,,37.0,0.0,3.0,1170.0,15,schmidtmaczollek.com,,,,3217.2964301211628,False
4458,2884.0,244001.0,1568.0,465.0,4.0,148720.0,21,schnoor37.de,,00QC000001k6izVMAQ,,3217.2964301211628,False
4461,,,8.0,11.0,2.0,1900.0,25,schomburggallery.com,,00QC000001k6izXMAQ,,3217.2964301211628,False
